title,type,question,A,B,C,D,E,F,G,H,answer,image
"Andaian, Prinsip dan Batasan dalam Perakaunan",radio,Amirul telah merekodkan bayaran sewa peribadi dengan menggunakan tunai perniagaan ke dalam Akaun Ambilan Kedai Amirul.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,A,
,radio,Tidak ada titik akhir dalam jangka hayat Kavin Enterprise. Perniagaan itu akan terus beroperasi untuk tempoh yang tidak terbatas.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,B,
,radio,Bayaran pengiklanan Kedai Dobi Lim dikenakan sebanyak RM2500.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,C,
,radio,Penyata kewangan Intan Enterprise disediakan berdasarkan semua urus niaga yang berlaku daripada 1 Julai 20X8 sehingga 30 Jun 20X9.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,D,
,radio,"Kedai Lim Mesra menggunakan kaedah garis lurus dalam pengiraan susut nilai aset bukan semasa.
Kaedah ini diteruskan pada setiap tempoh perakauan.",Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,E,
,radio,Aset Syarikat Bestari direkodkan pada harga kos walaupun harga pasaran telah berubah.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,F,
,radio,Perniagaan Gemilang mengambil kira semua hasil (belum terperoleh atau belum terima) dan semua belanja (prabayar atau belum bayar) semasa menyediakan penyata kewangan pada hujung tahun kewangan.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,G,
,radio,Kedai Lily sentiasa memastikan kos penyediaan maklumat kepada pengguna penyata kewangan. Hal ini adalah untuk memastikan Kedai Lily menikmati untung bersih yang lebih tinggi.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,H,
,radio,Perniagaan yang dimulakan oleh Mariah akan terus beroperasi untuk suatu tempoh masa yang tidak tetap.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,B,
,radio,Perabot mewah yang dibeli oleh Encik Tharun untuk kegunaan kediamannya tidak direkodkan dalam buku perakauan Kedai Tharun.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,A,
,radio,Faedah belum terima dan iklan prabayar diambil kira oleh kerani akaun untuk menentukan keuntungan tempoh kewangan itu.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,G,
,radio,Aset-aset Merdeka Enterprise dinilaikan pada kos bukan pada harga yang boleh dijual.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,F,
,radio,Perkhidmatan yang diberi oleh Syarikat Pengangkutan Cekap dinilaikan sebanyak RM120.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,C,
,radio,Penyata kewangan Syarikat Minda Segar Sdn. Bhd. dibuat berdasarkan data perakaunan pada 1 Mei 20X7 hingga 30 April 20X8.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,D,
,radio,Syarikat Maimunah telah menetap kaedah baki berkurangan untuk menyusutnilaikan semua aset bukan semasa syarikatnya.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,E,
,radio,"Pada tahun berakhir 31 Disember 20X7, nilai buku bersih bagi premis ialah RM120 000 tetapi nilai pasaran semasa ialah RM 300 000. Nilai yang dilaporkan dalam penyata kewangan ialah RM 300 000.",Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,F,
,radio,Pemilik Syarikat Cahaya telah membayar ansuran kereta isterinya dengan menggunakan cek perniagaan. Perkara ini telah direkodkan dalam buku perakaunan perniagaan.,Entiti berasingan,Usaha berterusan,Wang sebagai ukuran,Tempoh perakaunan,Ketekalan,Prinsip kos,Pengiktirafan hasil dan belanja,Kos manfaat,A,
